OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
128,"175 Stone Rd W, Guelph, ON N1G 5L4, Canada",-80.2330255,128,43.5231186,0,2
129,"176 Wyndham St N, Guelph, ON N1H 8N9, Canada",-80.251461,129,43.547773,0,4
130,"1769 Chiefswood Rd, Ohsweken, ON N0A 1M0, Canada",-80.1155937,130,43.0733948,0,1
131,"179 James St S, Hamilton, ON L8P 4V1, Canada",-79.87094,131,43.2514312,1,3
132,"18 Pine St, Kitchener, ON N2H 3R1, Canada",-80.5113064,132,43.4578344,0,3
133,"18 Plains Rd W, Burlington, ON L7T, Canada",-79.8527382,133,43.3061881,1,2
134,"180 James St S, Hamilton, ON L8P 4V1, Canada",-79.8717143,134,43.2512422,1,1
135,"181 Green Ln E, Newmarket, ON L3Y, Canada",-79.4819014,135,44.0731978,0,1
136,"1821 Walkers Line, Burlington, ON L7M 0H6, Canada",-79.8046916,136,43.3789986,1,3
137,"1842 Village Green, Burlington, ON L7P 2X9, Canada",-79.8426809,137,43.3431323,1,1
138,"1900 Appleby Line, Burlington, ON L7L 6A1, Canada",-79.7885131,138,43.3921102,1,1
139,"1930 Fowler Dr, Mississauga, ON L5K 0A1, Canada",-79.6503287,139,43.5268239,0,1
140,"194 Terrace Hill St, Brantford, ON N3R 1G7, Canada",-80.274474,140,43.151859,0,1
141,"1960 Appleby Line, Burlington, ON L7L 0B7, Canada",-79.7898344,141,43.3928736,1,28
142,"198 Barton St, Stoney Creek, ON L8E 2K2, Canada",-79.7367243,142,43.2315007,1,3
143,"1995 Lens Ave, Windsor, ON N8W 1L9, Canada",-82.9971991,143,42.2999029,0,2
144,"2 King St W, Stoney Creek, ON L8G 1G8, Canada",-79.7581411,144,43.2171739,1,1
145,"2 Sunnyside Dr, Saint George, ON N0E 1N0, Canada",-80.2534787,145,43.2467047,0,1
146,"20 Hobson St, Cambridge, ON N1S 2M6, Canada",-80.3181335,146,43.3634564,0,5
147,"20 Railway St, Hamilton, ON L8R 2R3, Canada",-79.8726651,147,43.2627333,1,1
148,"20 Shelldale Crescent, Guelph, ON N1H 1C8, Canada",-80.277003,148,43.5450721,0,2
149,"200 Bay St, Toronto, ON M5J 2J1, Canada",-79.380377,149,43.6468449,0,1
150,"200 James St S, Hamilton, ON L8P 3A9, Canada",-79.8721947,150,43.2505958,1,9
151,"200 Lorraine Ave, Kitchener, ON N2B 3R3, Canada",-80.4410402,151,43.4608256,0,2
152,"200 Main St E, Hamilton, ON L8N 1H3, Canada",-79.8618395,152,43.2530136,1,3
153,"200 Mill St, Milton, ON L9T 1S2, Canada",-79.8841093,153,43.5135288,0,1
154,"200 Terrace Hill St, Brantford, ON N3R 1G9, Canada",-80.276363,154,43.1525048,0,58
155,"200 University Ave W, Waterloo, ON N2L 3G1, Canada",-80.5412466,155,43.4695172,0,8
156,"2000 Appleby Line, Burlington, ON L7L 6M6, Canada",-79.7912357,156,43.3938947,1,1
157,"2015 Kingsridge Dr, Oakville, ON L6M 4Y7, Canada",-79.7572925,157,43.4461187,0,6
158,"2019 Caroline St, Burlington, ON L7R 1L2, Canada",-79.800108,158,43.3282514,1,5
159,"2025 Guelph Line, Burlington, ON L7P 4M8, Canada",-79.8224957,159,43.3667792,1,4
160,"204 King St W, Dundas, ON L9H 1V4, Canada",-79.9626958,160,43.2673792,1,1
161,"204 Queenston Rd, Hamilton, ON L8K, Canada",-79.7956871,161,43.2351217,1,1
