ID,LONGITUDE,LATITUDE,Coloring,DA,CD,Province,CSD,Abbrev,Suppressed,POP2016,POP2011,Age <4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,DAUID,POPY65,POPO65
205521,-79756445,43660257,3,35210221,3521,35,3521010,ON,N,475,475,30,25,20,40,5,10,5,10,5,40,55,25,25,25,20,45,45,45,25,10,5,0,5,35210221,475,45
205545,-79752169,43660510,0,35210222,3521,35,3521010,ON,N,521,520,40,35,35,35,10,10,5,5,5,45,45,40,30,35,40,40,35,30,10,15,5,5,0,35210222,520,35
205529,-79754110,43662547,2,35210223,3521,35,3521010,ON,N,343,345,20,10,15,35,0,10,5,10,5,35,35,25,10,15,40,35,30,15,10,10,0,0,5,35210223,350,25
205641,-79749618,43664613,3,35210224,3521,35,3521010,ON,N,759,760,20,35,45,50,10,15,10,5,5,55,45,40,55,60,65,60,65,55,30,20,20,20,20,35210224,695,110
205689,-79746459,43664321,2,35210225,3521,35,3521010,ON,N,460,460,20,35,35,35,10,10,5,10,5,40,35,35,30,35,50,25,30,20,15,10,5,5,0,35210225,465,35
205633,-79755574,43669043,1,35210226,3521,35,3521010,ON,N,669,670,25,25,35,50,5,10,5,15,15,65,50,30,25,30,45,70,60,45,45,25,20,15,5,35210226,605,110
205649,-79752967,43670080,0,35210227,3521,35,3521010,ON,N,459,460,15,15,20,35,5,0,10,10,10,35,25,5,20,15,40,60,40,15,25,20,25,20,10,35210227,375,100
204153,-79757324,43667277,3,35210228,3521,35,3521010,ON,N,388,390,20,15,20,30,0,5,5,5,5,30,25,25,30,25,35,35,30,35,15,10,5,5,5,35210228,375,40
204105,-79759765,43661911,0,35210229,3521,35,3521010,ON,N,607,610,55,40,35,55,5,5,20,20,15,50,45,60,50,40,45,45,40,20,15,15,5,0,5,35210229,645,40
204161,-79765066,43674043,2,35210231,3521,35,3521010,ON,N,759,760,45,45,45,70,15,10,20,15,10,50,55,55,40,65,75,50,50,35,35,20,10,5,10,35210231,750,80
204089,-79764374,43660521,4,35210233,3521,35,3521010,ON,N,649,650,55,60,70,55,15,10,10,10,10,40,30,50,50,50,65,45,35,15,10,10,5,5,0,35210233,675,30
204041,-79769787,43659652,3,35210234,3521,35,3521010,ON,N,1677,1675,120,100,130,120,30,30,25,25,20,115,125,130,110,135,135,95,95,50,50,35,30,25,85,35210234,1590,225
202697,-79734612,43603100,3,35210239,3521,35,3521005,ON,N,1086,1090,45,55,85,100,20,15,25,20,20,85,50,80,60,100,100,110,80,60,35,20,5,5,5,35210239,1110,70
202713,-79727674,43607237,0,35210240,3521,35,3521005,ON,N,514,515,25,25,25,30,5,5,5,10,5,35,30,40,50,35,50,45,30,35,25,15,10,0,0,35210240,485,50
202705,-79727172,43603851,2,35210241,3521,35,3521005,ON,N,978,980,55,55,70,80,15,15,20,20,10,90,50,60,60,65,80,75,80,65,45,30,15,5,5,35210241,965,100
203009,-79720620,43606715,1,35210242,3521,35,3521005,ON,N,617,615,25,35,30,30,10,5,10,5,5,45,35,20,35,40,55,45,60,55,40,20,20,10,5,35210242,545,95
202945,-79722135,43595452,0,35210243,3521,35,3521005,ON,N,645,645,20,30,35,40,10,0,5,15,10,60,35,15,35,25,50,80,60,40,35,35,20,15,15,35210243,565,120
202953,-79719810,43597356,1,35210244,3521,35,3521005,ON,N,478,475,15,25,25,40,5,5,5,10,10,40,25,15,20,25,35,35,50,55,30,10,15,5,0,35210244,440,60
203001,-79718311,43598925,3,35210245,3521,35,3521005,ON,N,349,350,10,20,15,25,5,5,5,0,5,30,20,10,20,20,35,35,35,35,15,15,5,0,0,35210245,330,35
202985,-79715329,43597387,2,35210246,3521,35,3521005,ON,N,467,470,15,30,35,40,10,10,5,5,10,40,25,15,30,35,40,50,30,25,25,15,15,0,10,35210246,450,65
203025,-79712711,43599121,0,35210247,3521,35,3521005,ON,N,608,605,25,40,45,70,20,10,15,20,10,55,25,35,30,50,55,55,30,35,20,10,10,10,0,35210247,625,50
203033,-79713670,43602150,2,35210248,3521,35,3521005,ON,N,409,410,15,20,35,40,5,10,10,10,5,40,25,15,15,35,30,50,35,20,10,10,10,0,0,35210248,415,30
